customer_id,treatment_group,campaign_channel,offer_type,contacted,responded,original_churn,churn_after_campaign,uplift_label
CUST_000001,control,none,no_offer,0,0,0,0,sure_thing
CUST_000002,control,none,no_offer,0,0,0,0,sure_thing
CUST_000003,control,none,no_offer,0,0,0,0,sure_thing
CUST_000004,treatment,SMS,free_international_trial,1,0,0,0,do_not_disturb
CUST_000005,control,none,no_offer,0,0,0,0,sure_thing
CUST_000006,treatment,app_notification,free_international_trial,1,1,0,0,uncertain
CUST_000007,treatment,SMS,discount_20_percent,1,1,0,0,sure_thing
CUST_000008,treatment,SMS,free_international_trial,1,0,0,0,sure_thing
CUST_000009,treatment,SMS,free_international_trial,1,0,0,0,do_not_disturb
CUST_000010,control,none,no_offer,0,0,0,0,sure_thing
CUST_000011,treatment,SMS,discount_10_percent,1,0,0,0,sure_thing
CUST_000012,treatment,email,discount_10_percent,1,0,0,0,sure_thing
CUST_000013,treatment,app_notification,priority_support,1,1,0,0,uncertain
CUST_000014,control,none,no_offer,0,0,0,0,sure_thing
CUST_000015,control,none,no_offer,0,0,0,0,sure_thing
CUST_000016,control,none,no_offer,0,0,0,0,sure_thing
CUST_000017,treatment,email,discount_20_percent,1,0,0,0,sure_thing
CUST_000018,control,none,no_offer,0,0,0,0,sure_thing
CUST_000019,control,none,no_offer,0,0,1,1,uncertain
CUST_000020,treatment,email,discount_10_percent,1,0,0,0,sure_thing
CUST_000021,control,none,no_offer,0,0,0,0,sure_thing
CUST_000022,control,none,no_offer,0,0,0,0,sure_thing
CUST_000023,control,none,no_offer,0,0,0,0,sure_thing
CUST_000024,control,none,no_offer,0,0,0,0,sure_thing
CUST_000025,control,none,no_offer,0,0,0,0,sure_thing
CUST_000026,control,none,no_offer,0,0,0,0,sure_thing
CUST_000027,control,none,no_offer,0,0,0,0,sure_thing
CUST_000028,control,none,no_offer,0,0,0,0,sure_thing
CUST_000029,control,none,no_offer,0,0,1,1,uncertain
CUST_000030,control,none,no_offer,0,0,0,0,sure_thing
CUST_000031,treatment,email,discount_20_percent,1,1,0,0,sure_thing
CUST_000032,treatment,SMS,free_voicemail_month,1,0,0,0,sure_thing
CUST_000033,control,none,no_offer,0,0,0,0,sure_thing
CUST_000034,control,none,no_offer,0,0,0,0,sure_thing
CUST_000035,control,none,no_offer,0,0,0,0,sure_thing
CUST_000036,treatment,email,free_international_trial,1,1,1,1,uncertain
CUST_000037,control,none,no_offer,0,0,0,0,sure_thing
CUST_000038,control,none,no_offer,0,0,0,0,sure_thing
CUST_000039,control,none,no_offer,0,0,0,0,sure_thing
CUST_000040,control,none,no_offer,0,0,0,0,sure_thing
CUST_000041,treatment,SMS,discount_10_percent,1,0,0,0,sure_thing
CUST_000042,control,none,no_offer,0,0,0,0,sure_thing
CUST_000043,control,none,no_offer,0,0,0,0,sure_thing
CUST_000044,control,none,no_offer,0,0,0,0,sure_thing
CUST_000045,control,none,no_offer,0,0,0,0,sure_thing
CUST_000046,treatment,SMS,priority_support,1,0,1,1,do_not_disturb
CUST_000047,control,none,no_offer,0,0,0,0,sure_thing
CUST_000048,control,none,no_offer,0,0,0,0,sure_thing
CUST_000049,control,none,no_offer,0,0,1,1,uncertain
CUST_000050,control,none,no_offer,0,0,0,0,sure_thing
CUST_000051,control,none,no_offer,0,0,0,0,sure_thing
CUST_000052,treatment,app_notification,discount_20_percent,1,0,0,0,sure_thing
CUST_000053,control,none,no_offer,0,0,0,0,sure_thing
CUST_000054,treatment,phone_call,discount_10_percent,1,0,0,0,sure_thing
CUST_000055,control,none,no_offer,0,0,0,0,sure_thing
CUST_000056,control,none,no_offer,0,0,0,0,uncertain
CUST_000057,treatment,app_notification,free_international_trial,1,0,0,0,sure_thing
CUST_000058,control,none,no_offer,0,0,0,0,sure_thing
CUST_000059,control,none,no_offer,0,0,1,1,uncertain
CUST_000060,control,none,no_offer,0,0,0,0,sure_thing
CUST_000061,control,none,no_offer,0,0,0,1,uncertain
CUST_000062,control,none,no_offer,0,0,0,0,sure_thing
CUST_000063,control,none,no_offer,0,0,0,0,sure_thing
CUST_000064,control,none,no_offer,0,0,0,0,sure_thing
CUST_000065,treatment,SMS,discount_20_percent,1,1,1,0,sure_thing
CUST_000066,control,none,no_offer,0,0,1,1,uncertain
CUST_000067,control,none,no_offer,0,0,0,0,sure_thing
CUST_000068,control,none,no_offer,0,0,0,0,sure_thing
CUST_000069,control,none,no_offer,0,0,0,0,uncertain
CUST_000070,control,none,no_offer,0,0,0,0,sure_thing
CUST_000071,control,none,no_offer,0,0,0,0,sure_thing
CUST_000072,control,none,no_offer,0,0,1,1,uncertain
CUST_000073,control,none,no_offer,0,0,1,1,uncertain
CUST_000074,treatment,phone_call,discount_20_percent,1,1,0,0,sure_thing
CUST_000075,control,none,no_offer,0,0,0,0,sure_thing
CUST_000076,control,none,no_offer,0,0,1,0,sure_thing
CUST_000077,control,none,no_offer,0,0,0,0,sure_thing
CUST_000078,control,none,no_offer,0,0,0,0,sure_thing
CUST_000079,treatment,SMS,discount_20_percent,1,1,0,0,sure_thing
CUST_000080,control,none,no_offer,0,0,0,0,sure_thing
CUST_000081,control,none,no_offer,0,0,0,0,sure_thing
CUST_000082,treatment,app_notification,priority_support,1,0,0,0,do_not_disturb
CUST_000083,control,none,no_offer,0,0,1,1,uncertain
CUST_000084,control,none,no_offer,0,0,0,0,uncertain
CUST_000085,control,none,no_offer,0,0,0,0,sure_thing
CUST_000086,control,none,no_offer,0,0,0,0,sure_thing
CUST_000087,treatment,SMS,priority_support,1,1,0,0,uncertain
CUST_000088,control,none,no_offer,0,0,0,0,sure_thing
CUST_000089,control,none,no_offer,0,0,0,0,sure_thing
CUST_000090,control,none,no_offer,0,0,0,0,sure_thing
CUST_000091,control,none,no_offer,0,0,0,0,sure_thing
CUST_000092,treatment,email,priority_support,1,1,0,0,uncertain
CUST_000093,control,none,no_offer,0,0,0,0,sure_thing
CUST_000094,control,none,no_offer,0,0,1,1,uncertain
CUST_000095,control,none,no_offer,0,0,0,0,sure_thing
CUST_000096,control,none,no_offer,0,0,1,1,uncertain
CUST_000097,control,none,no_offer,0,0,0,0,sure_thing
CUST_000098,control,none,no_offer,0,0,0,0,sure_thing
CUST_000099,control,none,no_offer,0,0,0,0,sure_thing
CUST_000100,control,none,no_offer,0,0,0,0,sure_thing
CUST_000101,control,none,no_offer,0,0,0,0,sure_thing
CUST_000102,control,none,no_offer,0,0,0,0,sure_thing
CUST_000103,treatment,SMS,discount_20_percent,1,0,0,0,sure_thing
CUST_000104,treatment,SMS,priority_support,1,1,1,0,uncertain
CUST_000105,control,none,no_offer,0,0,1,0,uncertain
CUST_000106,control,none,no_offer,0,0,0,0,sure_thing
CUST_000107,control,none,no_offer,0,0,0,0,sure_thing
CUST_000108,control,none,no_offer,0,0,0,0,sure_thing
CUST_000109,control,none,no_offer,0,0,0,0,sure_thing
CUST_000110,control,none,no_offer,0,0,0,0,uncertain
CUST_000111,control,none,no_offer,0,0,0,0,sure_thing
CUST_000112,control,none,no_offer,0,0,0,0,sure_thing
CUST_000113,control,none,no_offer,0,0,0,1,uncertain
CUST_000114,control,none,no_offer,0,0,0,0,sure_thing
CUST_000115,treatment,phone_call,discount_10_percent,1,0,0,0,sure_thing
CUST_000116,control,none,no_offer,0,0,0,0,sure_thing
CUST_000117,treatment,email,discount_10_percent,1,1,0,0,sure_thing
CUST_000118,control,none,no_offer,0,0,0,0,sure_thing
CUST_000119,treatment,app_notification,discount_10_percent,1,1,0,0,sure_thing
CUST_000120,control,none,no_offer,0,0,0,0,sure_thing
CUST_000121,control,none,no_offer,0,0,1,1,uncertain
CUST_000122,treatment,phone_call,discount_10_percent,1,0,0,0,sure_thing
CUST_000123,control,none,no_offer,0,0,0,0,uncertain
CUST_000124,treatment,email,discount_20_percent,1,0,0,0,sure_thing
CUST_000125,control,none,no_offer,0,0,0,0,sure_thing
CUST_000126,control,none,no_offer,0,0,0,0,sure_thing
CUST_000127,control,none,no_offer,0,0,0,0,uncertain
CUST_000128,control,none,no_offer,0,0,0,0,sure_thing
CUST_000129,control,none,no_offer,0,0,1,1,uncertain
CUST_000130,control,none,no_offer,0,0,0,0,sure_thing
CUST_000131,control,none,no_offer,0,0,0,0,sure_thing
CUST_000132,control,none,no_offer,0,0,0,0,sure_thing
CUST_000133,control,none,no_offer,0,0,0,0,sure_thing
CUST_000134,treatment,app_notification,discount_20_percent,1,0,0,0,sure_thing
CUST_000135,control,none,no_offer,0,0,0,1,uncertain
CUST_000136,control,none,no_offer,0,0,0,0,sure_thing
CUST_000137,control,none,no_offer,0,0,0,0,sure_thing
CUST_000138,control,none,no_offer,0,0,0,0,sure_thing
CUST_000139,control,none,no_offer,0,0,0,0,sure_thing
CUST_000140,control,none,no_offer,0,0,0,0,sure_thing
CUST_000141,control,none,no_offer,0,0,0,0,sure_thing
CUST_000142,treatment,email,loyalty_bonus,1,0,0,0,sure_thing
CUST_000143,control,none,no_offer,0,0,0,0,sure_thing
CUST_000144,control,none,no_offer,0,0,0,0,sure_thing
CUST_000145,control,none,no_offer,0,0,0,0,sure_thing
CUST_000146,treatment,SMS,discount_20_percent,1,0,0,0,sure_thing
CUST_000147,control,none,no_offer,0,0,0,0,uncertain
CUST_000148,control,none,no_offer,0,0,1,1,uncertain
CUST_000149,control,none,no_offer,0,0,0,0,sure_thing
CUST_000150,control,none,no_offer,0,0,0,0,sure_thing
CUST_000151,control,none,no_offer,0,0,0,0,uncertain
CUST_000152,treatment,email,discount_20_percent,1,1,0,0,sure_thing
CUST_000153,control,none,no_offer,0,0,0,0,sure_thing
CUST_000154,control,none,no_offer,0,0,0,0,sure_thing
CUST_000155,control,none,no_offer,0,0,0,0,sure_thing
CUST_000156,treatment,email,discount_10_percent,1,0,0,1,do_not_disturb
CUST_000157,control,none,no_offer,0,0,0,0,sure_thing
CUST_000158,treatment,email,discount_20_percent,1,0,0,0,sure_thing
CUST_000159,control,none,no_offer,0,0,0,0,sure_thing
CUST_000160,control,none,no_offer,0,0,0,0,sure_thing
CUST_000161,control,none,no_offer,0,0,0,0,sure_thing
CUST_000162,control,none,no_offer,0,0,0,0,sure_thing
CUST_000163,control,none,no_offer,0,0,1,1,lost_cause
CUST_000164,treatment,phone_call,discount_10_percent,1,0,0,0,sure_thing
CUST_000165,control,none,no_offer,0,0,0,0,sure_thing
CUST_000166,treatment,email,discount_20_percent,1,0,0,0,sure_thing
CUST_000167,control,none,no_offer,0,0,0,0,sure_thing
CUST_000168,control,none,no_offer,0,0,0,0,sure_thing
CUST_000169,treatment,SMS,discount_10_percent,1,0,0,1,do_not_disturb
CUST_000170,control,none,no_offer,0,0,0,0,sure_thing
CUST_000171,control,none,no_offer,0,0,0,0,sure_thing
CUST_000172,control,none,no_offer,0,0,0,0,sure_thing
CUST_000173,control,none,no_offer,0,0,0,0,sure_thing
CUST_000174,control,none,no_offer,0,0,0,0,uncertain
CUST_000175,control,none,no_offer,0,0,0,0,sure_thing
CUST_000176,control,none,no_offer,0,0,0,0,sure_thing
CUST_000177,control,none,no_offer,0,0,1,1,uncertain
CUST_000178,control,none,no_offer,0,0,0,0,sure_thing
CUST_000179,control,none,no_offer,0,0,0,0,sure_thing
CUST_000180,control,none,no_offer,0,0,0,0,sure_thing
CUST_000181,control,none,no_offer,0,0,1,1,uncertain
CUST_000182,control,none,no_offer,0,0,0,0,sure_thing
CUST_000183,control,none,no_offer,0,0,0,0,sure_thing
CUST_000184,control,none,no_offer,0,0,0,0,sure_thing
CUST_000185,control,none,no_offer,0,0,0,0,sure_thing
CUST_000186,treatment,SMS,loyalty_bonus,1,0,0,0,sure_thing
CUST_000187,control,none,no_offer,0,0,0,0,sure_thing
CUST_000188,treatment,SMS,free_voicemail_month,1,1,0,0,sure_thing
CUST_000189,treatment,email,priority_support,1,0,0,0,do_not_disturb
CUST_000190,treatment,SMS,free_international_trial,1,0,1,0,do_not_disturb
